Call ID,Segment,Date,StartTime,Calling Party,DialedNumber,Disposition,DispositionTime,Skill,AnsLogid,TalkTime,HoldTime,ACWTime,TransferedOut,ConferencedIn,Assist,LastCallWorkCode
994125,2,21-07-2017,1:01PM,001V03012,,OTHER,:00,48,,0.0,:00,:00,N,N,N,
994126,3,21-07-2017,1:19PM,002V02010,,OTHER,:00,60,,0.0,:00,:00,N,N,N,
994127,1,21-07-2017,1:19PM,002V02011,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994128,3,21-07-2017,1:19PM,32824,8072,ANS,:04,60,6542,0.3,:00,:05,N,Y,N,
994129,2,21-07-2017,1:20PM,001V03023,,OTHER,:00,41,,0.0,:00,:00,N,N,N,
994130,1,21-07-2017,1:20PM,002V02012,,OTHER,:00,33,,0.0,:00,:00,N,N,N,
994131,2,21-07-2017,1:21PM,18920336670,7051,ABAN,:07,45,,0.0,:00,:00,N,N,N,
994132,1,21-07-2017,1:21PM,18920336670,7051,ABAN,:10,31,,0.0,:00,:00,N,N,N,
994133,1,21-07-2017,1:21PM,002V02002,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994134,2,21-07-2017,1:23PM,32886,1125842209#,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994135,2,21-07-2017,1:20PM,32889,096524345555#,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994136,1,21-07-2017,1:21PM,002V03011,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994137,2,21-07-2017,1:23PM,001V03025,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994138,1,21-07-2017,1:23PM,002V02014,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994139,1,21-07-2017,1:23PM,002V03013,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
994140,2,21-07-2017,1:21PM,002V02013,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994141,3,21-07-2017,1:15PM,002V05031,,OTHER,:00,60,,0.0,:00,:00,N,N,N,
994142,3,21-07-2017,1:20PM,001V03022,,OTHER,:00,60,,0.0,:00,:00,N,N,N,
994143,3,21-07-2017,1:24PM,002V02018,,OTHER,:00,60,,0.0,:00,:00,N,N,N,
994144,3,21-07-2017,1:24PM,002V03015,,OTHER,:00,60,,0.0,:00,:00,N,N,N,
994145,2,21-07-2017,1:24PM,32886,9818001321#,OTHER,:00,45,,0.0,:00,:00,N,N,N,
994146,3,21-07-2017,1:23PM,001V03024,,OTHER,:00,60,,0.0,:00,:00,N,N,N,
